id;name;description;code
1;tantôt sans que tendre;badaboum;rassurer
2;vibrer;surmonter sale;beaucoup fourbe trier
3;miaou dès;mourir comprendre passer;du moment que
4;nonobstant rédaction commis;aigre plaindre considérable;partenaire ficher délégation
5;outre assez;au point que;ha ressembler hirsute
6;durant tant que présidence;peser cuicui;collègue avant corriger
7;pin-pon;ici;ouin brave extatique
8;bang;ci vite rectangulaire;classer debout négliger
9;siffler sauver;hier débile vorace;corps enseignant vu que
10;au moyen de chef de manière à ce que;snob lunatique pis;cyan administration à l'entour de
